VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	ENABLE_FLAG	NEW_WORLD
14071	FACILITY	guildbank_01	Склад гильдии	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	60000	6	1	1	0
14072	FACILITY	guildbank_02	Склад гильдии	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	60001	6	6	2	0
14073	FACILITY	guildbank_03	Склад гильдии	-664.7	-995.84	665.7	896.57	0	0	360	750000000	"90010,75/90011,75/90012,75"	60002	6	6	2	0
14074	FACILITY	yonggwangro	Обраб. крист. души	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20423	3	1	1	0
14075	FACILITY	yonggwangro	Обработка рубинов	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20424	3	1	1	0
14076	FACILITY	yonggwangro	Обработка гранатов	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20425	3	1	1	0
14077	FACILITY	yonggwangro	Обработка смарагдов	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20426	3	1	1	0
14078	FACILITY	yonggwangro	Обработка сапфиров	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20427	3	1	1	0
14079	FACILITY	yonggwangro	Обработка турмалина	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20428	3	1	1	0
14080	FACILITY	yonggwangro	Печь туманного жадеита	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20660	3	1	1	1
14081	FACILITY	yonggwangro	Печь солнечного жадеита	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20661	3	1	1	1
14082	FACILITY	yonggwangro	Печь ночного жадеита	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20662	3	1	1	1
14083	FACILITY	yonggwangro	Печь дымчатого жадеита	-179.63	-199.89	179.63	199.89	0	0	360	1000000000	90015,20/90016,30/90017,20	20663	3	1	1	1
14084	FACILITY	jedan	Печь для кожи	-525	-525	-525	525	0	0	360	1000000000	0	20835	2	1	1	1
14085	FACILITY	jedan	Кожевник	-525	-525	525	525	0	0	360	1000000000	90015,40/90016,60/90017,40/31225,1	20828	2	1	1	1
14100	HEADQUARTER	a1-011-workhouse	Дом (1)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14101	OBJECT	a1-038-wall-corner	Кам. стена (1-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14102	OBJECT	a1-038-wall-lin	Кам. стена (1-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14103	OBJECT	a1-038-wall-lin2	Кам. стена (1-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14104	OBJECT	a1-038-wall-door	Ворота (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14105	BUILDIN	a1-set	Стена (1)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14110	HEADQUARTER	b1-011-workhouse	Дом (2)	-678.76	-894.26	687.94	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14111	OBJECT	b1-038-wall-corner	Кам. стена (2-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14112	OBJECT	b1-038-wall-lin	Кам. стена (2-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14113	OBJECT	b1-038-wall-lin2	Кам. стена (2-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14114	OBJECT	b1-038-wall-door	Ворота (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14115	BUILDIN	b1-set	Стена (2)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14120	HEADQUARTER	c1-011-workhouse	Дом (3)	-676.52	-894.26	690.18	749.32	0	0	360	20000000	90010,20/90011,30/90012,25	0	1	0	1	0
14121	OBJECT	c1-038-wall-corner	Кам. стена (3-1)	-400	-153.53	156.48	400	0	0	360	2000000	90010,15/90011,5/90012,5	0	5	0	2	0
14122	OBJECT	c1-038-wall-lin	Кам. стена (3-2)	-200	-106.73	300	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14123	OBJECT	c1-038-wall-lin2	Кам. стена (3-3)	-500	-106.73	500	106.73	0	0	360	1000000	90010,15/90011,5/90012,5	0	5	0	2	0
14124	OBJECT	c1-038-wall-door	Ворота (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	2	0
14125	BUILDIN	c1-set	Стена (3)	-1000	-274.73	1000	274.73	0	0	360	2500000	90010,5/90011,15/90012,10	0	5	0	1	0
14200	OBJECT	guild_symbol	Символ гильдии	-45.9	-9.44	42.68	40.13	0	0	360	3000000	90011,5/90012,5	0	0	1	1	0
14201	WALL	fence01_door01	Наружная стена	-1000	-54	1000	20	0	0	360	3000000	"90010.50"	0	0	1	1	0
14202	WALL	fence01_back01	Внутренняя стена	-1000	-18	1000	18	0	0	360	3000000	"90010.50"	0	0	1	1	0
14203	WALL	fence01_left01	Левая стена	-19	-1362	19	1362	0	0	360	3000000	"90010.50"	0	0	1	1	0
14204	WALL	fence01_right01	Правая стена	-18	-1362	18	1362	0	0	360	3000000	"90010.50"	0	0	1	1	0
14300	OBJECT	general_obj_stone01	Камень (1)	-116.04	-118.44	116.04	118.44	0	0	360	300000	90010,5	0	0	0	1	0
14301	OBJECT	general_obj_stone02	Камень (2)	-118.05	-132.67	118.05	132.67	0	0	360	300000	90010,5	0	0	0	1	0
14302	OBJECT	general_obj_stone03	Камень (3)	-133.43	-102.96	133.43	102.96	0	0	360	300000	90010,7	0	0	0	1	0
14303	OBJECT	general_obj_stone04	Камень (4)	-104.21	-117.82	104.21	117.82	0	0	360	300000	90010,7	0	0	0	1	0
14304	OBJECT	general_obj_stone05	Камень (5)	-171.59	-145.52	171.59	145.52	0	0	360	300000	90010,7	0	0	0	1	0
14305	OBJECT	general_obj_stone06	Камень (6)	-192.74	-201.58	192.74	201.58	0	0	360	300000	90010,8	0	0	0	1	0
14306	OBJECT	general_obj_stone07	Камень (7)	-183.58	-184.01	183.58	184.01	0	0	360	300000	90010,8	0	0	0	1	0
14307	OBJECT	general_obj_stone08	Камень (8)	-66.89	-56.67	66.89	56.67	0	0	360	300000	90010,8	0	0	0	1	0
14308	OBJECT	general_obj_stone09	Камень (9)	-65.87	-53.47	65.87	53.47	0	0	360	300000	90010,9	0	0	0	1	0
14309	OBJECT	general_obj_stone10	Камень (10)	-182.17	-123.03	182.17	123.03	0	0	360	300000	90010,9	0	0	0	1	0
14400	OBJECT	B1_PagodaTree_RT	Дерево (1)					0	0	360	2000000	90011,5	0	0	0	1	0
14401	OBJECT	B1_PagodaTree_RT3	Дерево (2)					0	0	360	2000000	90011,5	0	0	0	1	0
14402	OBJECT	B1_Sassafras_RT_Fall	Дерево (3)					0	0	360	2000000	90011,7	0	0	0	1	0
14403	OBJECT	B1_Sassafras_RT_Fall2	Дерево (4)					0	0	360	2000000	90011,7	0	0	0	1	0
14404	OBJECT	B3_ShingleOak_RT2	Дерево (5)					0	0	360	2000000	90011,7	0	0	0	1	0
14405	OBJECT	B2_IvySpy_RT	Дерево (6)					0	0	360	2000000	90011,9	0	0	0	1	0
14406	OBJECT	B2_IvySpy_RT4	Дерево (7)					0	0	360	2000000	90011,9	0	0	0	1	0
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Дерево (8)					0	0	360	2000000	90011,9	0	0	0	1	0
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Дерево (9)					0	0	360	2000000	90011,9	0	0	0	1	0
20139	OBJECT	flag_a	Знамя гильдии (фиолет.)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20140	OBJECT	flag_b	Знамя гильдии (син./зел.)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
20141	OBJECT	flag_c	Знамя гильдии (красн./зол.)	-100	-100	100	100	0	0	360	1000000	90011,0	0	0	0	1	0
