ACCEPT	ОК
CHATTING_SETTING_LANGUAGE_1	Язык 1
CHATTING_SETTING_LANGUAGE_2	Язык 2
CHATTING_SETTING_LANGUAGE_3	Язык 3
CHATTING_SETTING_LANGUAGE_CUR	Текущий язык ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Фильтр
CHATTING_SETTING_LIST	Список
CHATTING_SETTING_NOTICE	Сообщение
CHATTING_SETTING_PARTY	Группа
CHATTING_SETTING_SAVE	Сохранить
CHATTING_SETTING_SHOUT	Голос
CHATTING_SETTING_SYSTEM	Система
CHATTING_SETTING_TABNAME	Настройки имени чата
CHATTING_SETTING_TALKING	Общее
CHATTING_SETTING_TITLE	Настройки чата
CHAT_FILTER	Фильтр чата
CHAT_FILTER_DICE	Кубик
CLOSE	Закрыть
COMB_APPEARANCE	Адресат
COMB_ATTRIBUTE	Исходник
COMB_MAIN	Адресат
COMB_MATERIAL	Исходник
COMB_SKILLBOOK_TILE	Обменять книги
COMB_TITLE	
COSTUME_TITLE	Костюмы
COSTUME_WINDOW_TITLE	Костюмы
CREATE_ATT_GRADE	Сила
CREATE_CREATE	Создать
CREATE_DEX_GRADE	Подвижность
CREATE_HP	ХП
CREATE_LAST_POINT	Очки
CREATE_MAN	Мужск.
CREATE_NAME	Имя
CREATE_NEXT	Дальше
CREATE_PREV	Обратно
CREATE_SEX	Пол
CREATE_SHAPE	Внешность
CREATE_SP	Инт.
CREATE_STAT_RESET	Сброс
CREATE_WOMAN	Женск.
CUBE_INFO_TITLE	Книга улучшения
CUBE_RENEWAL_BELT_IMPROVE	Повысить шансы
CUBE_RENEWAL_TITLE	Улучшение
CUBE_REQUIRE_MATERIAL	Требуемые материалы
CUBE_REQUIRE_MATERIAL_OR	или
CUBE_TITLE	Окно улучшения
CURRENT_POINT	Текущие очки: %s
CZ_REWARD_WINDOW_TITLE	Храм Зодиака
DO_CHANGE_ATTR	Применить
DO_REFINE	Улучшить
DRAGONSOUL_ACTIVATE	Активировать
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Смена бонуса для мифических камней Дракона
DRAGONSOUL_PAGE_BUTTON_1	Необработанный
DRAGONSOUL_PAGE_BUTTON_2	Обработанный
DRAGONSOUL_PAGE_BUTTON_3	Редкий
DRAGONSOUL_PAGE_BUTTON_4	Античный
DRAGONSOUL_PAGE_BUTTON_5	Легендарный
DRAGONSOUL_PAGE_BUTTON_6	Мифически
DRAGONSOUL_REFINE_WINDOW_TITLE	Окно улучшения
DRAGONSOUL_TAP_TITLE_1	Алмаз Дракона
DRAGONSOUL_TAP_TITLE_2	Рубин Дракона
DRAGONSOUL_TAP_TITLE_3	Нефрит Дракона
DRAGONSOUL_TAP_TITLE_4	Сапфир Дракона
DRAGONSOUL_TAP_TITLE_5	Гранат Дракона
DRAGONSOUL_TAP_TITLE_6	Оникс Дракона
DRAGONSOUL_TITLE	Алхимия Камней Дракона
DRAGON_GATE_AUTO_REINFORCE_TEXT	
DRAGON_GATE_BASE_NAME	
DRAGON_GATE_NAME	
DRAGON_GATE_REINFORCE_TEXT	
DRAGON_GATE_SIDE_NAME	
DRAGON_GATE_SIDE_NAME_BY_INDEX	
DUTCHAUCTION_BUTTON	Ага!
DUTCHAUCTION_TITLE	SALE
EMPIRE_A	Шиньзо
EMPIRE_ALL	Все
EMPIRE_B	Хунджо
EMPIRE_C	Джинно
EMPIRE_EXIT	Выход
EMPIRE_NEXT	Дальше
EMPIRE_PREV	Обратно
EMPIRE_SELECT	выбрать
END_TIME	Текущее событие
ENTER_BATTLE_FIELD	Войти
EQUIPMENT_SLOT_1	Первая страница снаряжения
EQUIPMENT_SLOT_2	Вторая страница снаряжения
EVENT_ALARM_TITLE	Обзор события
EVENT_NAME_TITLE	Название
EVENT_REWARD_CHECK	Посмотреть
EVENT_REWARD_LIST_TITLE	Награда
EVENT_REWARD_TITLE	Награда
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	торговать
EXIT_BATTLE_FIELD	Вы точно хотите покинуть поле боя?
EXIT_BATTLE_FIELD_ON_DEAD	Хотите покинуть поле боя с %d очками?
EXPIRED_TIME	Событие закончилось.
FISHING_RENEWAL_TITLE	Рыбная ловля
FLOWER_EVENT_EXCHANGE_BUTTON_TEXT	Обменять
FLOWER_EVENT_SHOOT_CHRYSANTHEMUM_TEXT	Ростки хризантемы
FLOWER_EVENT_SHOOT_DAFFODIL_TEXT	Ростки нарцисса
FLOWER_EVENT_SHOOT_LILY_TEXT	Ростки лилии
FLOWER_EVENT_SHOOT_MAY_BELL_TEXT	Ростки ландыша
FLOWER_EVENT_SHOOT_SUNFLOWER_TEXT	Ростки подсолнуха
FLOWER_EVENT_TITLE	Ростки в инвентаре
FOOTBALL_EVENT_TITLE	Футбольное событие
FOOTBALL_USE_BUTTON	Применить
FRAGMENT_COMB_TITLE	Сочетайте книги навыков
GAMEOPTION_TITLE	Настройки игры
GAME_EXIT_OBSERVER	Выход из режима Наблюдатель
GAME_GUILD_WAR_JOIN	Присоединиться к войне гильдий
GAME_HELP	Помощь
GAME_QUEST	Задания
GAME_SKILL_UP	Повысить навык
GAME_STAT_UP	Повысить статус
GEMSHOP_LEFTTIME	Оставшееся время
GEMSHOP_TITLA	БИРЖА GAYA
GOLDEN_LAND_EVENT_POSSESSION_COUNT	Количество
GOLDEN_LAND_EVENT_TITLE	Извечная экспедиция
GOLDEN_LAND_EVENT_TREE_FRUIT_TOOLTIP	У Торговца из каравана можно менять горькие ягоды, найденные на уровнях, на золотые ягоды.
GOLDEN_LAND_EVENT_YELLOW_FRUIT_TOOLTIP	У Торговца из каравана можно менять горькие ягоды, найденные на уровнях, на золотые ягоды.
GOLDEN_LAND_FIND_GOLDEN_FRUIT_FIND_CARD	Открыть поля
GOLDEN_LAND_FIND_GOLDEN_FRUIT_NEED_YELLOW_FRUIT_COUNT	Нужно золотых ягод:
GOLDEN_LAND_FIND_GOLDEN_FRUIT_REWARD	Награда
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TITLE	Поиск золотых ягод
GOLDEN_LAND_FIND_GOLDEN_FRUIT_TOOLTIP_RESET	Сбросить
GOLDEN_LAND_FIND_GOLDEN_FRUIT_YELLOW_FRUIT_COUNT	Золотых ягод у вас:
GOLDEN_LAND_STAGE_EXIT_BUTTON	Уйти
GOLDEN_LAND_STAGE_EXIT_QUESTION	Вы точно хотите сдаться? Вы перенесетесь обратно в Золотую землю.
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_1	Уровень 1
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_2	Уровень 2
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_3	Уровень 3
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_4	Уровень 4 (оазис)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_5	Уровень 5
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_6	Уровень 6
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_7	Уровень 7
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_8	Уровень 8 (оазис)
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_9	Уровень 9
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_10	Уровень 10
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_11	Уровень 11
GOLDEN_LAND_STAGE_NUMBER_TOOLTIP_12	Уровень 12 (оазис)
GOLDEN_LAND_STAGE_REMAIN_TIME	%d минут(ы)
GOLDEN_LAND_STAGE_REMAIN_TIME_1M	Менее 1 минуты
GRADE	Классификация
GRADE_SELECT	Классификация
GRAPHICONOFF_DROP_ITEM_APPLY	Применить
GRAPHICONOFF_DROP_ITEM_LEVEL	Выпадение предметов
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Показывать эффект и название
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Скрывать эффект
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Скрывать эффект и название
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Скрывать предметы, название по курсору
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Не показывать предметы и название
GRAPHICONOFF_EFFECT_APPLY	Применить
GRAPHICONOFF_EFFECT_LEVEL	Эффекты
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Показывать все
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Только свои и эффекты монстров
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Только свои и эффекты других игроков
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Показывать только свои
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Не показывать
GRAPHICONOFF_NPC_NAME_STATUS	Имена NPC
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Выкл
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Скрывать имена NPC
GRAPHICONOFF_NPC_NAME_STATUS_ON	Вкл
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Показывать имена NPC
GRAPHICONOFF_PET_STATUS	Питомцы
GRAPHICONOFF_PET_STATUS_OFF	Выкл
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Скрывать питомцев
GRAPHICONOFF_PET_STATUS_ON	Вкл
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Показывать питомцев
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Применить
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Частные лавки
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Показывать все
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Показывать все в большом радиусе
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Показывать все в среднем радиусе
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Показывать все поблизости
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Показывать все в непосредств. близости
GUILDWINDOW_BASE_BUFF	Бонус гильдии
GUILD_ATTENDANCE_LOCA1	Первое участие: 1x Медаль за храбрость
GUILD_ATTENDANCE_LOCA2	10 и больше: 1x Медаль за храбрость
GUILD_ATTENDANCE_LOCA3	20 и больше: 2x Медаль за храбрость
GUILD_ATTENDANCE_LOCA4	30 и больше: 4x Медаль за храбрость
GUILD_ATTENDANCE_LOCA5	40 и больше: 6x Медаль за храбрость
GUILD_ATTENDANCE_LOCA6	50 и больше: 8x Медаль за храбрость
GUILD_ATTENDANCE_LOCA7	60 и больше: 10x Медаль за храбрость
GUILD_ATTENDANCE_LOCA8	70 и больше: 12x Медаль за храбрость
GUILD_ATTENDANCE_LOCA9	Начало: каждый день в 5:00
GUILD_ATTENDANCE_TITLE	Награда за участие
GUILD_BANKINFO_CLOSE	Закрыть
GUILD_BANKINFO_NAME	Участник
GUILD_BANKINFO_TITLE	Журнал склада гильдии
GUILD_BANKINFO_TYPE	Предмет/Валюта
GUILD_BANKINFO_USETYPE	Действие
GUILD_BANK_CLOSE	Закрыть
GUILD_BANK_INFO	Стр. склада:
GUILD_BASEINFO_BANK	Склад гильдии
GUILD_BASEINFO_BANKLASTOUT	Посл.взят.предм.:
GUILD_BASEINFO_BUILDING	Здание гильдии
GUILD_BASEINFO_FACTORY	Кузнец гильдии
GUILD_BASEINFO_GUILDLAND	Земля гильдии
GUILD_BASEINFO_LANDSCAPE	Прочее
GUILD_BASEINFO_LOCALE	Местоположение
GUILD_BASEINFO_MONEY	Баланс счета
GUILD_BASEINFO_MONEYBANKINFO	Информация о банк. счете гильдии
GUILD_BASEINFO_MONEYLASTOUT	Последнее снятие
GUILD_BASEINFO_POWER	Алтарь Мощи
GUILD_BASEINFO_SMEITER	Алхимик гильдии
GUILD_BASEINFO_TITLE	Информация о земле
GUILD_BASENAME	Базовое имя
GUILD_BOARD_ID	Имя
GUILD_BOARD_REFRESH	Обновить
GUILD_BOARD_TEXT	Сообщение
GUILD_BUILDING_CATEGORY_TITLE	Структурные единицы
GUILD_BUILDING_CHANGE	Сменить
GUILD_BUILDING_CHANGE_DELETE	Удалить
GUILD_BUILDING_CHANGE_FIX	Переустройство гильдии
GUILD_BUILDING_CHANGE_LIST	Список объектов гильдии
GUILD_BUILDING_DIRECTION	Направление
GUILD_BUILDING_FIX	Переустройство
GUILD_BUILDING_GRADE	Ранг
GUILD_BUILDING_INFO	Здания и затраты-инфо
GUILD_BUILDING_LIST_TITLE	Список зданий
GUILD_BUILDING_LOG	Бревно
GUILD_BUILDING_NAME	Имя здания
GUILD_BUILDING_OPERATE	Управлять
GUILD_BUILDING_PLY	Фанера
GUILD_BUILDING_POSITION	Расположение
GUILD_BUILDING_PREVIEW	смотреть
GUILD_BUILDING_PRICE	Цена
GUILD_BUILDING_REFRESH	Обновить
GUILD_BUILDING_STONE	Камень
GUILD_BUILDING_TITLE	Сооружение корпуса Гильдии
GUILD_CRYSTAL	Хрусталь
GUILD_DEPOSIT	Заплатить
GUILD_DONATE_BUTTON_OVER_TEXT	Случайный предмет
GUILD_DONATE_COUNT	Доступные взносы: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Опыт гильдии
GUILD_DONATE_HIGH_MATERIAL	Большой взнос
GUILD_DONATE_MEDAL_OF_HONOR	Медаль за храбрость
GUILD_DONATE_MIDDLE_MATERIAL	Средний взнос
GUILD_DONATE_MY_MEDAL_OF_HONOR	Мои медали за храбрость
GUILD_DONATE_NORMAL_MATERIAL	120 000 янг
GUILD_DONATE_TAB_HIGH	Большой взнос
GUILD_DONATE_TAB_MIDDLE	Средний взнос
GUILD_DONATE_TAB_NORMAL	Малый взнос
GUILD_DONATE_TITLE	Опыт за взносы
GUILD_DRAGONLAIR_RANKING	Список лучших
GUILD_DRAGONLAIR_RANKING_COUNT	Место
GUILD_DRAGONLAIR_RANKING_MEMBER	Участники
GUILD_DRAGONLAIR_RANKING_NAME	Гильдия
GUILD_DRAGONLAIR_RANKING_TIME	Время
GUILD_DROP_RESOURCE1	здесь
GUILD_DROP_RESOURCE2	Выбросить ресурсы
GUILD_GEM	Самоцвет
GUILD_GRADE_CHANGE_GRADE_NAME	Сменить ранг
GUILD_GRADE_NUM	Ранг
GUILD_GRADE_PERMISSION_BANK	Может использовать банк и склад гильдии
GUILD_GRADE_PERMISSION_DELETE	Исключить из гильдии
GUILD_GRADE_PERMISSION_JOIN	Может принимать игроков в гильдию
GUILD_GRADE_PERMISSION_NOTICE	Может прикреплять заметки гильдии
GUILD_GRADE_PERMISSION_SKILL	Навыки гильдии
GUILD_GRADE_PERMISSION_WAR	Может выбирать тех участников, кто сможет участвовать в сражениях.
GUILD_GRADE_RANK	Ранг
GUILD_GRADE_WRITE	Написать
GUILD_INFO	Инфо по Гильдии
GUILD_INFO_CUR_EXP	Опыт
GUILD_INFO_DECALRE_WAR	Объявить войну
GUILD_INFO_ENEMY_GUILD	Вражеская Гильдия
GUILD_INFO_ENEMY_GUILD_EMPTY	Никакой
GUILD_INFO_LEVEL	Уровень Гильдии
GUILD_INFO_MARK	Символ гильдии
GUILD_INFO_MASTER	Лидер
GUILD_INFO_MASTER_VALUE	Лидер
GUILD_INFO_MEMBER_AVG_LEVEL	Средний уровень
GUILD_INFO_MEMBER_NUM	Количество участников
GUILD_INFO_NAME	Имя Гильдии
GUILD_INFO_NAME_VALUE	Это имя Гильдии
GUILD_INFO_OFFER_EXP	Инвест.
GUILD_INFO_REST_EXP	Необходимый опыт
GUILD_INFO_UPLOAD_MARK	Загрузить символ
GUILD_INFO_UPLOAD_SYMBOL	Загрузить флаг
GUILD_MARK	Символ гильдии
GUILD_MASTER_CHANGE_TITLEBAR	Отказаться от поста Лидера
GUILD_MEMBER_JOB	Раса
GUILD_MEMBER_KNIGHT	Воины
GUILD_MEMBER_LEVEL	Уровень
GUILD_MEMBER_NAME	Имя
GUILD_MEMBER_OUT_TITLEBAR	Исключение участника
GUILD_MEMBER_PACE_ATTENDANCE	Участие ({0}/{1})
GUILD_MEMBER_RANK	Ранг
GUILD_MEMBER_SPECIFIC_GRAVITY	Инвест.
GUILD_METIN_STONE	Камень духа
GUILD_MINENAL	Минерал
GUILD_MONEY	Янг
GUILD_NAME	Гильдия
GUILD_RESOURCE_INFO	Ресурсы
GUILD_SKILLPAGE_LADDER	Очки ранга
GUILD_SKILLPAGE_RANK	Ранг
GUILD_SKILL_ACTIVE	Активный
GUILD_SKIlL_HEAL_GSP	Зарядить
GUILD_SKILL_PASSIVE	Пассивный
GUILD_SKILL_POWER	Энергия
GUILD_SKILL_STATE	Навыки гильдии
GUILD_SYMBOL	Флаг гильдии
GUILD_WAR_ACCEPT	Принять объявление Войны Гильдий
GUILD_WAR_ALLSCORE	Все сражения
GUILD_WAR_BATTLE_TYPE	Вид боя
GUILD_WAR_CTF	Флаг
GUILD_WAR_DECLARE	Объявить войну Гильдии
GUILD_WAR_ENEMY	Враг
GUILD_WAR_GAINSCORE	Очки
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Время сражения
GUILD_WAR_GAMETIME_SIXTY	60 мин.
GUILD_WAR_GAMETIME_TEN	10 мин.
GUILD_WAR_GAMETIME_THIRTY	30 мин.
GUILD_WAR_JOINMEMBER	Участники
GUILD_WAR_JOINMEMBER_COUNT	Участники
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Поле битвы
GUILD_WAR_REPORT	Ход войны (обзор)
GUILD_WAR_REPORTLIST	Обзор (сражения: С, выигрыши: В, поражения: П, ничьи: Н)
GUILD_WAR_SCORE	Ход войны (обзор)
GUILD_WAR_SKILL	Навыки гильдии
GUILD_WAR_TYPE_DEFENSE	Защита объекта
GUILD_WAR_TYPE_DIE	Сражение на арене
GUILD_WAR_TYPE_FLAG	Сражение за флаги
GUILD_WAR_TYPE_NORMAL	Поле битвы
GUILD_WAR_TYPE_TIGER	Уничтожение
GUILD_WAR_TYPE_TIME	Гонка за победой
GUILD_WAR_WARP	Арена
GUILD_WAR_WIN	Раунды
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Вода
GUILD_WATER_STONE	Аква-камень
GUILD_WITHDRAW	Взять
HELP_ATTACK	Нажатием кнопки мыши активирует однократную атаку.
HELP_ATTACK_KEY	Атака: пробел или левая кнопка мыши
HELP_AUTO_ATTACK	Нажатием кнопки мыши активирует автоматическую атаку.
HELP_CAMERA	Вид камеры
HELP_CHANGE_PK_MODE	Смена режима атаки: изменение настройки левой кнопки мыши
HELP_CHARACTER_BUTTON1	(Оокно навыков, окно инвентаря
HELP_CHARACTER_BUTTON2	список друзей и настройки)
HELP_CHAT	Для общения с отдельными группами введите текст: !(Крикнуть), #(Группа) или %(Гильдия).
HELP_CLICK_OTHER_PLAYER	Нажав на игрока правой кнопкой мыши вы можете с ним торговать, создать группу и вызвать на дуэль.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Обзор камеры по умолчанию: средняя кнопка мыши
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Изменить обзор камеры: установить на правую или левую кнопку мыши
HELP_EMOTINO	При помощи комбинаций кнопок <CTRL> + <1~9> вы сможете показать эмоции.
HELP_EXP	Опыт
HELP_FURY	Магазин игровых предметов
HELP_GUILD_WINDOW	Открыть и закрыть окно гильдии: Alt + G
HELP_HELP	Справка: Н
HELP_HELP_KEY	Помощь отображает настройки по умолчанию.
HELP_HP	Очки жизненной энергии (ХП)
HELP_KEYSETTING	В настройках игры вы можете настроить индивидуальные комбинации кнопок.
HELP_MESSENGER_WINDOW	Открыть список друзей: Alt + M
HELP_MINIMAP	Отображение мини-карты.
HELP_MINIMAP_QUEST	На большой и мини-картах мигающими точками обозначены задания.
HELP_MOUSE_LEFT	Функция левой кнопки мыши
HELP_MOUSE_RIGHT	Функция правой кнопки мыши
HELP_MOVE_KEY	Панель: W, S, A, D или стрелки вверх-влево-вниз-вправо
HELP_OFF_QUESTSCROLL	Нажав <CTRL> + Q вы можете скрыть или показать свитки с заданиями.
HELP_OPEN_CHARACTER	Окно персонажа: С
HELP_OPEN_CHAT	Окно чата: Enter
HELP_OPEN_INVENTORY	Окно снаряжения: I
HELP_OPEN_LOG	Лог чата: L
HELP_OPEN_MINIMAP	Миникарта: Shift + M
HELP_OPEN_QUEST	Окно заданий: N
HELP_OPEN_SKILL	Окно умений: V
HELP_OPEN_WHISPER	Сообщение шепотом: Shift + Enter
HELP_OPEN_ZONEMAP	Большая карта: M
HELP_PICK_ITEM	Подбор предметов: ^, Y или левая кнопка мыши
HELP_QUICKSLOT	Панель быстрого доступа
HELP_SCREEN_CAPTURE	Скриншот: клавиша Print Screen (скриншот будет сохранен в "Metin2\screenshot")
HELP_SERVER	Отображает сервера и каналы.
HELP_SHOW_ALL_NAME	Показать имена: А
HELP_SKILL	Здесь вы можете использовать навык правой кнопкой мыши.
HELP_SP	Пункты маны (МП)
HELP_SYSTEM_BUTTON	Системные клавиши
ICECREAM_EVENT_TITL	Летнее событие
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Инвентарь
